day,name,address,city,codes,map
"PM 03:00, Sunday",12 Steps Discussion,"Presbyterian Church of Sunnyvale, 728 W. Fremont Ave., at Hollenbeck",Sunnyvale,"O,Wh","http://maps.google.com/maps?q=728+W.+Fremont+Ave.+sunnyvale,+ca&hl=en&ie=UTF8&z=16&iwloc=addr"
"PM 07:00, Sunday",Meditation Meeting,St. Luke's Lutheran Church: 1025 The Dalles & Wright,Sunnyvale,"O,Wh","http://maps.google.com/maps?f=q&hl=en&q=1025+The+Dalles,+Sunnyvale,+CA&ll=37.346757,-122.056131&spn=0.014738,0.031114"
"PM 07:30, Sunday",Plaza Del Rey Group (Chips last Sunday of month),"Plaza del Rey, East Club House: 1220 Vienna Dr., Sunnyvale",Sunnyvale,"O,Wh","http://maps.google.com/maps?q=1220+Vienna+Dr+sunnyvale,+ca&spn=0.021764,0.036489&hl=en"
"PM 12:00, Monday",Keys to the Kingdom Step,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"PM 06:00, Monday",After Work Topic Meeting,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"PM 08:00, Monday",Beginners Meeting (chips),"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"PM 08:00, Monday",Monday Night Survivors,7511 Gourmet Alley,Gilroy,"O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=7511+Gourmet+Alley,+Gilroy,+CA&sll=37.277003,-121.952999&sspn=0.092611,0.153809&g=95008&ie=UTF8&z=16"
"PM 07:30, Monday",A.B.C. Women's Group,Foothill Baptist Church: Richardson & Grant Rd.,Los Altos,"W,O,Wh","http://maps.google.com/maps?q=Richardson+%26+Grant+Rd+los+altos,+ca&spn=0.021776,0.036489&hl=en"
"PM 08:15, Monday",Los Altos Men's Group,Christ Episcopal Church: 1040 Border Rd. near University & El Monte,Los Altos,"M,C","http://maps.google.com/maps?q=1040+Border+Rd+los+altos,+ca&spn=0.021775,0.036489&hl=en"
"PM 07:30, Monday",The Shared Gift (women) (babysitting available),"St. Timothy's Lutheran Church: 5151 Carter Ave., betw. Hwy. 85 and Kooser","San Jose, South","W,C","http://maps.google.com/maps?q=5151+Carter+Ave,+san+jose,+ca&hl=en"
"PM 12:30, Monday",As Bill Sees It,"South County Fellowship: 18675 Adams Ct., Suite N",Morgan Hill,"C,Wh","http://maps.google.com/maps?q=18675+Adams+Ct+morgan+hill,+ca&hl=en"
"AM 09:00, Sunday",Cup of Coffee Group,Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en"
"PM 12:00, Monday",New Beginnings,"Moffett Central Shopping Center: 327 B Moffett Blvd., between Central Expwy & Middlefield",Mountain View,"O,Wh","http://maps.google.com/maps?q=327+Moffett+Blvd,+Mountain+View,+CA+94043&spn=0.028437,0.039710&hl=en"
"PM 07:00, Monday",Early Monday Night,University Lutheran Church:  1611 Stanford Ave.,Palo Alto,"O,Wh","http://maps.google.com/maps?f=q&hl=en&geocode=&q=1611+Stanford+Ave.,+Palo+Alto,+CA&sll=37.0625,-95.677068&sspn=47.167389,81.738281&ie=UTF8&z=16&om=0"
"PM 08:00, Thursday",Countdown Sobriety,Cornerstone Fellowship Group:  1600 Dell Ave. (2nd Floor),Campbell,O,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1600+Dell+Ave.,+Campbell+CA&aq=&sll=37.277003,-121.952999&sspn=0.071985,0.209255&ie=UTF8&hq=&hnear=1600+Dell+Ave,+Campbell,+California+95008&z=16"
